;InChI;Count;Component;SMILES
0;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;581;Butan-1-ol;CCCCO
1;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;576;1-Butoxybutane;CCCCOCCCC
2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;507;ethanol;CCO
3;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;376;oxidane;O
4;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;336;Cyclohexane;C1CCCCC1
5;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;299;Pentan-1-ol;CCCCCO
6;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;297;methanol;CO
7;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;229;BENZENE;c1ccccc1
8;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;221;2-Ethoxyethanol;CCOCCO
9;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;218;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
10;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;202;Propan-1-ol;CCCO
11;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;202;HEPTANE;CCCCCCC
12;InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N;176;phenylmethanol;OCc1ccccc1
13;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;158;methylbenzene;Cc1ccccc1
14;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;157;Hexane;CCCCCC
15;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;156;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
16;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;140;2-Methoxy-2-methylpropane;COC(C)(C)C
17;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;139;Propan-2-ol;CC(C)O
18;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;110;octane;CCCCCCCC
19;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;101;2-propan-2-yloxypropane;CC(C)OC(C)C
20;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;98;Oxolane;C1CCOC1
21;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;98;2-Methylbutan-2-ol;CCC(C)(C)O
22;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;97;PROPANE-1,2-DIOL;CC(O)CO
23;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;85;Butan-2-ol;CCC(C)O
24;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;84;pentan-2-ol;CCCC(C)O
25;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;80;Decane;CCCCCCCCCC
26;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;79;Nonane;CCCCCCCCC
27;InChIKey=POLCUAVZOMRGSN-UHFFFAOYSA-N;79;1-propoxypropane;CCCOCCC
28;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;76;Methylcyclohexane;CC1CCCCC1
29;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;76;Methoxymethane;COC
30;InChIKey=HPXRVTGHNJAIIH-UHFFFAOYSA-N;68;Cyclohexanol;OC1CCCCC1
31;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;63;Cyclopentane;C1CCCC1
32;InChIKey=ZFFMLCVRJBZUDZ-UHFFFAOYSA-N;63;2,3-Dimethylbutane;CC(C)C(C)C
33;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;62;2,2-Dimethylbutane;CCC(C)(C)C
34;InChIKey=RDOXTESZEPMUJZ-UHFFFAOYSA-N;51;Methoxybenzene;COc1ccccc1
35;InChIKey=DLRJIFUOBPOJNS-UHFFFAOYSA-N;51;Ethoxybenzene;CCOc1ccccc1
36;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;50;HEXAN-1-OL;CCCCCCO
37;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;47;1,4-Dioxane;C1COCCO1
38;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;44;2-Methyloxolane;CC1CCCO1
39;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;42;2-Methylheptane;CCCCCC(C)C
40;InChIKey=POAOYUHQDCAZBD-UHFFFAOYSA-N;38;2-Butoxyethanol;CCCCOCCO
41;InChIKey=ARXJGSRGQADJSQ-UHFFFAOYSA-N;38;1-Methoxypropan-2-ol;COCC(C)O
42;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;36;Propane-1,3-diol;OCCCO
43;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;36;Butane-1,4-diol;OCCCCO
44;InChIKey=WRMNZCZEMHIOCP-UHFFFAOYSA-N;34;2-PHENYLETHANOL;OCCc1ccccc1
45;InChIKey=VAJVDSVGBWFCLW-UHFFFAOYSA-N;34;3-Phenylpropan-1-ol;OCCCc1ccccc1
46;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;32;OCTAN-1-OL;CCCCCCCCO
47;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;31;2-Methylpropan-1-ol;CC(C)CO
