,Component,SMILES,Count
0,methyl tert-butyl ether,COC(C)(C)C,643
1,tert-butyl ethyl ether,CCOC(C)(C)C,624
2,water,O,555
3,heptane,CCCCCCC,555
4,cyclohexane,C1CCCCC1,416
5,2-butoxyethanol,CCCCOCCO,407
6,cyclopentane,C1CCCC1,306
7,1-octanol,CCCCCCCCO,292
8,"1,2-butanediol",CCC(O)CO,277
9,dibutyl ether,CCCCOCCCC,276
10,1-nonanol,CCCCCCCCCO,261
11,methylcyclohexane,CC1CCCCC1,255
12,toluene,Cc1ccccc1,209
13,tetrahydropyran,C1CCOCC1,204
14,"1,4-dioxane",C1COCCO1,192
15,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,167
16,hexane,CCCCCC,161
17,"1,3-dioxolane",C1COCO1,148
18,decane,CCCCCCCCCC,145
19,"1,3-propanediol",OCCCO,132
20,cyclooctane,C1CCCCCCC1,118
21,octane,CCCCCCCC,113
22,n-propyl alcohol,CCCO,66
23,2-propanol,CC(C)O,66
24,2-methyl-1-butanol,CCC(C)CO,56
25,methoxybenzene,COc1ccccc1,55
26,"1,4-butanediol",OCCCCO,54
27,1-heptanol,CCCCCCCO,54
28,3-methyl-1-butanol,CC(C)CCO,52
29,2-ethyl-1-hexanol,CCCCC(CC)CO,48
30,2-ethoxyethanol,CCOCCO,44
31,2-pentanol,CCCC(C)O,39
32,nonane,CCCCCCCCC,38
33,isopropyl ether,CC(C)OC(C)C,30
34,"1,2-ethanediol",OCCO,20
35,1-pentanol,CCCCCO,11
