;Mixture;Count
0;ethanol__heptane;1664
1;2-propanol__water;1278
2;methanol__water;1117
3;benzene__octane;1080
4;ethanol__water;1050
5;cyclohexane__nonane;1031
6;1-propanol__toluene;986
7;ethanol__methylcyclohexane;851
8;1,4-butanediol__water;849
9;ethanol__toluene;805
10;1-heptanol__heptane;756
11;n-hexane__decane;750
12;n-hexane__octane;750
13;n-decane__heptane;750
14;n-octane__n-decane;750
15;ethyl alcohol__n-decane;720
16;1-propanol__water;713
17;2-methyl-2-propanol__water;650
18;n-butyl alcohol__2-methylheptane;648
19;1,3-propanediol__water;634
20;3-methylpentane-1,5-diol__water;592
21;1-butanol__cyclohexane;590
22;2-methyl-2-propyl-1,3-propanediol__water;554
23;tert-pentyl alcohol__heptane;552
24;1,2-propanediol__water;546
25;benzene__cyclohexane;534
26;glycerol__water;502
27;2,2,4-trimethylpentane__methyl tert-butyl ether;500
28;toluene__methyl tert-butyl ether;493
29;ethanol__methanol;469
30;1-propoxy-2-propanol__water;463
31;1,1,1-trimethanolethane__water;405
32;propane__butane;403
33;2-methylpropane__butane;393
34;benzene__methyl tert-butyl ether;393
35;2,2-bis(hydroxymethyl)-1,3-propanediol__water;391
36;ethylbenzene__methyl tert-butyl ether;390
37;1,2-dimethylbenzene__methyl tert-butyl ether;390
38;1,3-dimethylbenzene__tert-butyl ethyl ether;390
39;1,3-dimethylbenzene__methyl tert-butyl ether;390
40;1,2-dimethylbenzene__tert-butyl ethyl ether;390
41;1,4-dimethylbenzene__methyl tert-butyl ether;390
42;1,4-dimethylbenzene__tert-butyl ethyl ether;390
43;propane__2-methylpropane;383
44;1-propanol__heptane;378
45;tetrahydrofuran__water;368
46;1,2-dihydroxyethane__water;361
47;tert-butanol__water;360
48;hexane__1-hexanol;352
49;2-ethyl-2-(hydroxymethyl)-1,3-propanediol__water;340
50;1,2-ethanediol__water;337
51;1-hexanol__dibutyl ether;328
52;n-butyl alcohol__butyl oxide;300
53;n-heptane__2,2,4-trimethylpentane;299
54;ethanol__2,2,4-trimethylpentane;295
55;cyclohexanol__water;295
56;cis-decalin__trans-decalin;293
57;1,3-propanediol, 2,2-diethyl-__water;288
58;cyclopentanol__water;287
59;neopentyl glycol__water;284
60;1,8-dihydroxyoctane__water;283
61;monoglyme__water;280
62;bis(2-hydroxyethyl) ether__water;280
63;pentamethyleneglycol__water;276
64;.beta.-butylene glycol__water;276
65;neopentyl alcohol__water;276
66;1,5-pentanediol__water;269
67;2-methyl-1,3-propanediol__water;263
68;2,2-diethyl-1,3-propanediol__water;263
69;1-butanol__heptane;261
70;2-methyl-2-propanol__methyl tert-butyl ether;260
71;1-propanol__dibutyl ether;259
72;1,6-hexanediol__water;255
73;1-heptanol__1,4-dioxane;252
74;1,3-butanediol__water;248
75;1,2-butanediol__water;248
76;methanol__benzene;248
77;1,4-dimethylbenzene__decane;246
78;1,4-dimethylbenzene__octane;242
79;1,6-dihydroxyhexane__water;234
80;2-butoxyethanol__water;232
81;ribitol__water;227
82;diglyme__water;224
83;1-butanol__2,2,4-trimethylpentane;224
84;cycloheptanol__water;222
85;1,8-octanediol__water;220
86;glycerin__water;218
87;propylene glycol__water;216
88;1-butanol__toluene;214
89;1,2-hexanediol__water;209
90;decane__methyl tert-butyl ether;201
91;hexane__n-decane;200
92;2-propanol__dibutyl ether;200
93;3,6-dioxaoctane__water;196
94;2-phenylethanol__2-propanol;195
95;1-butanol__dibutyl ether;194
96;nonane__methyl tert-butyl ether;193
97;1-butanol__benzene;189
98;methylbenzene__n-heptane;185
99;1,2-dimethoxyethane__water;181
100;cyclohexylmethanol__water;176
101;2-cyclohexylethanol__water;175
102;1-butanol__hexane;174
103;diethoxymethane__water;173
104;1-propanol__2,2,4-trimethylpentane;172
105;2,5,8-trioxanonane__water;172
106;n-octane__nonane;171
107;ethanol__cyclohexane;170
108;ethanol__isopropyl ether;169
109;2-propanol__cyclohexane;165
110;pentaerythritol__water;165
111;1-hexanol__1-butoxy-2-propanol;160
112;1-octanol__1-butoxy-2-propanol;160
113;1,4-dioxane__water;157
114;cyclooctanol__water;156
115;2,2-dimethyl-1,3-propanediol__water;156
116;toluene__2,2,4-trimethylpentane;154
117;ethanol__1,2-dimethoxyethane;153
