;Mixture;Count
0;1,2-ethanediol__water;135
1;1,2-propanediol__water;114
2;1,4-butanediol__water;109
3;1,3-propanediol__water;90
4;1,2-hexanediol__water;60
5;butan-1-ol__butane, 1,4-dihydroxy-;40
6;2-methyl-2-butanol__tetrahydrofuran;39
7;1-butanol__hexane;31
8;ethanol__hexane;23
9;hexane__ether, methyl tert-pentyl;19
10;tetrahydropyran__heptane;14
11;butane, 1,4-dihydroxy-__water;14
12;1,3-dimethylbenzene__tetrahydropyran;14
13;1,4-dimethylbenzene__tetrahydropyran;14
14;1,3-butanediol__water;14
15;cyclohexane__tetrahydropyran;14
16;n-hexane__tetrahydropyran;14
17;1,2-butanediol__water;14
18;toluene__tetrahydropyran;14
19;benzene__tetrahydropyran;14
20;2,3-butanediol__water;14
21;1,2-dimethylbenzene__tetrahydropyran;14
22;trimethylene glycol__water;14
