,Mixture,Count
0,tert-pentyl alcohol__heptane,450
1,"1,4-dimethylbenzene__tert-butyl ethyl ether",195
2,"1,2-dimethylbenzene__methyl tert-butyl ether",195
3,"1,3-dimethylbenzene__tert-butyl ethyl ether",195
4,"1,3-dimethylbenzene__methyl tert-butyl ether",195
5,"1,2-dimethylbenzene__tert-butyl ethyl ether",195
6,"1,4-dimethylbenzene__methyl tert-butyl ether",195
7,1-propoxy-2-propanol__water,145
8,"1,4-butanediol__water",142
9,.beta.-butylene glycol__water,138
10,"1-heptanol__1,4-dioxane",126
11,1-butanol__toluene,88
12,"1-butanol__2,2,4-trimethylpentane",80
13,1-octanol__1-butoxy-2-propanol,80
14,1-hexanol__1-butoxy-2-propanol,80
15,2-propanol__cyclohexane,78
16,"toluene__2,2,4-trimethylpentane",77
17,"dibutyl ether__ethanol, 2-propoxy-",73
18,ethanol__isooctane,72
19,ethanol__toluene,71
20,2-butanol__2-butoxyethanol,70
21,1-hexanol__2-butoxyethanol,70
22,2-propanol__2-butoxyethanol,70
23,2-butoxyethanol__1-octanol,70
24,1-propanol__2-butoxyethanol,70
25,1-butanol__2-butoxyethanol,70
26,"2-propanol__1,3-propanediol",66
27,"1,3-butanediol__1,2-butanediol",66
28,2-phenylethanol__1-propanol,66
29,"2-phenylethanol__1,2-butanediol",66
30,2-propanol__tert-butanol,66
31,2-phenylethanol__2-propanol,66
32,1-propanol__tert-butanol,66
33,1-butanol__methyl tert-butyl ether,66
34,"(RS)-2-butanol__1,2-butanediol",66
35,"1-propanol__1,3-propanediol",66
36,"benzenemethanol__1,2-butanediol",66
37,octane__methyl tert-butyl ether,65
38,1-butanol__2-(2-methoxyethoxy)ethanol,63
39,2-methoxyethanol__2-(2-methoxyethoxy)ethanol,61
40,"1-butanol__3,6-dioxa-1-octanol",60
41,1-butanol__hexane,60
42,2-methoxyethanol__2-butoxyethanol,57
43,1-pentanol__dibutyl ether,56
44,1-octanol__dibutyl ether,56
45,"1,2-ethanediol__1-nonanol",55
46,"2,2,4-trimethylpentane__methyl tert-butyl ether",55
47,1-heptanol__dibutyl ether,55
48,1-butanol__dibutyl ether,55
49,1-hexanol__dibutyl ether,54
50,"butan-1-ol__butane, 1,4-dihydroxy-",54
51,1-butanol__cyclohexane,51
52,methylcyclohexane__toluene,50
53,toluene__tetrahydropyran,50
54,benzene__tetrahydropyran,50
55,benzene__methylcyclohexane,50
56,tetrahydrofuran__octyl alcohol,48
57,ethylbenzene__1-nonanol,48
58,2-methoxyethanol__1-hexanol,48
59,octane__1-octanol,48
60,1-octanol__decane,48
61,2-methoxyethanol__1-octanol,48
62,benzene__2-ethyl-1-hexanol,48
63,1-butanol__octane,48
64,hexane__1-octanol,48
65,tetrahydrofuran__n-hexyl alcohol,48
66,"1,2-dimethylbenzene__1-nonanol",48
67,"1,3-dimethylbenzene__1-nonanol",48
68,"1,4-dimethylbenzene__1-nonanol",48
69,1-butanol__decane,48
70,toluene__methyl tert-butyl ether,46
71,2-(2-methylpropoxy)ethanol__water,45
72,2-butoxyethan-1-ol__water,45
73,"2-methoxyethanol__ethanol, 2-ethoxy-",44
74,benzene__cyclohexane,44
75,toluene__2-heptanol,42
76,toluene__2-octanol,42
77,toluene__2-hexanol,42
78,"1,2-benzenediol__water",40
79,ethanol__cyclohexane,39
80,"2,2,4-trimethylpentane__tert-butyl ethyl ether",39
81,2-propanol__cyclopentane,39
82,toluene__cyclohexane,39
83,ethylbenzene__cyclohexane,39
84,toluene__tert-butyl ethyl ether,39
85,ethylbenzene__methylcyclohexane,39
86,ethanol__tert-butyl ethyl ether,39
87,ethanol__cyclopentane,39
88,ethanol__heptane,39
89,1-butanol__cyclopentane,39
90,cyclopentane__2-pentanol,39
91,2-methyl-2-propanol__tert-butyl ethyl ether,39
92,1-propanol__cyclopentane,39
93,1-propanol__cyclohexane,39
94,ethylbenzene__tert-butyl ethyl ether,39
95,ethanol__hexane,39
96,benzene__tert-butyl ethyl ether,39
97,"1,3,5-trimethylbenzene__methylcyclohexane",37
98,"1,4-dimethylbenzene__methylcyclohexane",37
99,o-xylene__tetrahydropyran,36
100,1-butanol__tetrahydropyran,35
101,"1,3-benzenediol__water",35
102,1-butanol__2-methyltetrahydrofuran,34
103,"1,4-dioxane__cyclopentane",33
104,"1,4-dimethylbenzene__decane",33
105,"cyclohexane__1,4-dioxane",33
106,"benzene__1,4-dioxane",33
107,4-methylphenol__1-nonanol,32
108,2-methylphenol__1-nonanol,32
109,methyl phenyl ether__1-nonanol,32
110,3-methylphenol__1-nonanol,32
111,"furfuryl alcohol, tetrahydro-__water",30
112,benzyl alcohol__1-octanol,30
113,benzyl alcohol__1-heptanol,30
114,benzyl alcohol__1-nonanol,30
115,"benzene__1,3-dioxolane",27
116,"cyclopentane__1,3-dioxolane",27
117,"cyclohexane__1,3-dioxolane",27
118,"1,3-dimethylbenzene__cyclooctane",27
119,1-propanol__water,27
120,"1,4-dimethylbenzene__cyclopentane",26
121,"1,3-dimethylbenzene__methylcyclohexane",26
122,"1,2-dimethylbenzene__cyclopentane",26
123,"1,3-dimethylbenzene__cyclopentane",26
124,"1,3,5-trimethylbenzene__cyclopentane",26
125,"1,2-dimethylbenzene__cyclooctane",26
126,"1,2-dimethylbenzene__methylcyclohexane",26
127,"1,3,5-trimethylbenzene__cyclohexane",26
128,"1,2-dimethylbenzene__cyclohexane",26
129,"1,4-dimethylbenzene__cyclooctane",26
130,"1,3-dimethylbenzene__cyclohexane",26
131,"1,4-dimethylbenzene__cyclohexane",26
132,"1,3,5-trimethylbenzene__cyclooctane",26
133,2-hydroxymethylfuran__water,24
134,"2,2-bis(hydroxymethyl)-1,3-propanediol__water",22
135,1-propanol__tert-amyl methyl ether,21
136,1-propanol__methyl tert-butyl ether,21
137,1-propanol__isopropyl ether,21
138,ethylene glycol methyl ether__water,21
139,ethanol__water,20
140,tetrahydrofuran__water,20
141,1-propanol__2-methyl-1-butanol,19
142,methanol__2-methyl-1-butanol,19
143,1-propanol__3-methyl-1-butanol,19
144,2-butoxyethanol__water,18
145,2-isopropoxyethanol__water,18
146,"1,4-dioxane__water",18
147,water__dipropylene glycol monomethyl ether,18
148,benzene__heptane,18
149,"2,5,8-trioxanonane__water",18
150,ethanol__2-methyl-1-butanol,18
151,2-methyl-1-propanol__hexane,16
152,2-methoxyethanol__water,16
153,"ethanol, 2-ethoxy-__water",16
