,filename,x1,x2,smiles1,smiles2,components,Mole fraction,"Temperature, K","Pressure, kPa",Activity coefficient,Activity coefficient_std
331613,j.jct.2013.05.011,pentane,bis(2-hydroxyethyl) ether,CCCCC,OCCOCCO,n-pentane__diethylene glycol,0.0,333.2,101.0,70.18,4.2108
331614,j.jct.2013.05.011,pentane,bis(2-hydroxyethyl) ether,CCCCC,OCCOCCO,n-pentane__diethylene glycol,0.0,348.2,101.0,53.76,3.2256
331615,j.jct.2013.05.011,pentane,bis(2-hydroxyethyl) ether,CCCCC,OCCOCCO,n-pentane__diethylene glycol,0.0,363.2,101.0,54.19,3.2514
331616,j.jct.2013.05.011,hexane,bis(2-hydroxyethyl) ether,CCCCCC,OCCOCCO,n-hexane__diethylene glycol,0.0,333.2,101.0,95.73,2.8719
331617,j.jct.2013.05.011,hexane,bis(2-hydroxyethyl) ether,CCCCCC,OCCOCCO,n-hexane__diethylene glycol,0.0,348.2,101.0,84.01,2.5203
331618,j.jct.2013.05.011,hexane,bis(2-hydroxyethyl) ether,CCCCCC,OCCOCCO,n-hexane__diethylene glycol,0.0,363.2,101.0,82.36,2.4708
331619,j.jct.2013.05.011,bis(2-hydroxyethyl) ether,heptane,OCCOCCO,CCCCCCC,diethylene glycol__n-heptane,0.0,333.2,101.0,131.3,3.939
331620,j.jct.2013.05.011,bis(2-hydroxyethyl) ether,heptane,OCCOCCO,CCCCCCC,diethylene glycol__n-heptane,0.0,348.2,101.0,122.2,3.666
331621,j.jct.2013.05.011,bis(2-hydroxyethyl) ether,heptane,OCCOCCO,CCCCCCC,diethylene glycol__n-heptane,0.0,363.2,101.0,95.37,2.8611
331622,j.jct.2013.05.011,bis(2-hydroxyethyl) ether,octane,OCCOCCO,CCCCCCCC,diethylene glycol__n-octane,0.0,333.2,101.0,187.6,5.628
331623,j.jct.2013.05.011,bis(2-hydroxyethyl) ether,octane,OCCOCCO,CCCCCCCC,diethylene glycol__n-octane,0.0,348.2,101.0,168.0,5.04
331624,j.jct.2013.05.011,bis(2-hydroxyethyl) ether,octane,OCCOCCO,CCCCCCCC,diethylene glycol__n-octane,0.0,363.2,101.0,145.6,4.368
331625,j.jct.2013.05.011,bis(2-hydroxyethyl) ether,nonane,OCCOCCO,CCCCCCCCC,diethylene glycol__n-nonane,0.0,333.2,101.0,263.9,7.917
