,Component,Component Count
0,water,10916
1,ethanol,4585
2,heptane,3328
3,octane,3184
4,1-butanol,2773
5,toluene,2663
6,cyclohexane,2548
7,2-propanol,2433
8,1-propanol,2428
9,methyl tert-butyl ether,2321
10,benzene,2314
11,nonane,1719
12,methylcyclohexane,1478
13,"2,2,4-trimethylpentane",1370
14,1-heptanol,1293
15,dibutyl ether,1271
16,"1,4-dimethylbenzene",1259
17,2-methyl-2-propanol,1168
18,decane,1102
19,tert-butyl ethyl ether,1048
20,n-decane,931
21,glycerol,860
22,methanol,853
23,1-octanol,812
24,2-butoxyethanol,781
25,1-hexanol,729
26,1-pentanol,670
27,"1,2-propanediol",669
28,"1,2-dimethylbenzene",663
29,"1,3-dimethylbenzene",660
30,hexane,651
31,"1,2-ethanediol",615
32,1-nonanol,613
33,bis(2-hydroxyethyl) ether,588
34,2-methoxyethanol,517
35,ethylbenzene,494
36,"1,2-dimethoxyethane",488
37,pentane,483
38,methoxybenzene,466
39,tetrahydrofuran,457
40,isooctane,413
41,cyclopentane,412
42,"1,3-propanediol",406
43,2-methyl-1-propanol,399
44,n-propyl alcohol,357
45,exo-tetrahydrodicyclopentadiene,352
46,2-phenylethanol,349
47,amylcarbinol,344
48,"1,1,1-trimethanolethane",324
49,2-(2-methoxyethoxy)ethanol,320
50,1-propoxy-2-propanol,318
51,tetrahydropyran,289
52,cyclopentanol,287
53,"1,3,5-trimethylbenzene",285
54,cyclohexanol,280
55,"1,2-butanediol",278
56,cis-decalin,278
57,trans-decalin,278
58,cyclooctane,271
59,"2-ethyl-2-(hydroxymethyl)-1,3-propanediol",270
60,"1,5-pentanediol",269
61,tert-butanol,267
62,"2,5,8-trioxanonane",257
63,"1,6-hexanediol",255
64,pentaerythritol,249
65,2-methyl-2-butanol,248
66,"1,4-dioxane",241
67,3-methyl-1-butanol,235
68,cycloheptanol,222
69,"1,8-octanediol",220
70,"1,3-butanediol",218
71,"1,4-butanediol",215
72,neopentyl alcohol,213
73,.alpha.-toluenol,210
74,"2-methyl-1,3-propanediol",209
75,"1,3-dioxolane",204
76,butan-2-ol,202
77,"3,6-dioxaoctane",196
78,ribitol,193
79,cyclohexylmethanol,176
80,2-cyclohexylethanol,175
81,2-methyl-1-butanol,173
82,diethoxymethane,173
83,3-methylphenol,164
84,4-methylphenol,164
85,butane,163
86,1-butoxy-2-propanol,160
87,propane,157
88,"2,2-dimethyl-1,3-propanediol",156
89,cyclooctanol,156
90,"ethanol, 2-propoxy-",151
91,"1,3-benzenediol",142
92,"3-methylpentane-1,5-diol",138
93,"ether, methyl tert-pentyl",136
94,methyl alcohol,129
95,2-pentanol,126
96,2-ethyl-1-hexanol,116
97,"2,5-hexanediol",114
98,isobutylbenzene,100
99,tetralin,100
100,"1,2-hexanediol",96
101,2-hexanol,90
102,benzyl alcohol,90
103,isopropyl ether,88
104,"3,6-dioxa-1-octanol",84
105,"1,2,4-trimethylbenzene",84
106,"1,5-hexanediol",75
107,ethylcyclohexane,66
108,butylcyclohexane,66
109,"1,2,4-trimethylcyclohexane",66
110,2-octanol,55
111,tetrole,54
112,"ethanol, 2-ethoxy-",47
113,2-(2-methylpropoxy)ethanol,45
114,ethane,44
115,2-ethoxyethanol,44
116,2-heptanol,42
117,xyliton,40
118,"1,2-benzenediol",40
119,triethylene glycol,39
120,methane,37
121,ethoxybenzene,37
122,2-methylphenol,32
123,"furfuryl alcohol, tetrahydro-",30
124,ethyl tert-pentyl ether,27
125,2-methyltetrahydrofuran,27
126,"3,6-dioxa-1,8-octanediol",26
127,3-phenyl-1-propanol,24
128,2-hydroxymethylfuran,24
129,"2,3-butanediol",24
130,phenol,23
131,butylbenzene,22
132,propylbenzene,22
133,diethyl ether,22
134,"2,5-dimethylfuran",18
135,dipropylene glycol monomethyl ether,18
136,2-isopropoxyethanol,18
137,naphthalene,10
138,glycidol,1
