,Component,Component Count,SMILES,SMILES Count
0,1-butanol,517,CCCCO,517.0
1,dibutyl ether,516,CCCCOCCCC,516.0
2,ethanol,487,CCO,487.0
3,water,376,O,376.0
4,cyclohexane,317,C1CCCCC1,317.0
5,1-pentanol,248,CO,276.0
6,tetrahydropyran,204,CCCCCO,248.0
7,heptane,202,CCOCCO,221.0
8,benzene,199,C1CCOCC1,204.0
9,methanol,189,CCCCCCC,202.0
10,toluene,158,c1ccccc1,199.0
11,hexane,157,CCCO,182.0
12,"2,2,4-trimethylpentane",156,Cc1ccccc1,158.0
13,methyl tert-butyl ether,140,CCCCCC,157.0
14,2-propanol,130,CC(C)CC(C)(C)C,156.0
15,"ethanol, 2-ethoxy-",117,COC(C)(C)C,140.0
16,octane,110,CC(C)O,130.0
17,2-ethoxyethanol,104,CCCCCCCC,110.0
18,isopropyl ether,101,CC(C)OC(C)C,101.0
19,1-propanol,98,CCC(C)(C)O,89.0
20,2-methyl-2-butanol,89,CC(O)CO,87.0
21,"1,2-propanediol",87,CCCC(C)O,84.0
22,methyl alcohol,87,CCCCCCCCCC,80.0
23,n-propyl alcohol,84,CCCCCCCCC,79.0
24,2-pentanol,84,COC,76.0
25,nonane,79,CC1CCCCC1,76.0
26,methylcyclohexane,76,OCc1ccccc1,68.0
27,methoxymethane,76,C1CCCC1,63.0
28,benzyl alcohol,68,CCC(C)O,61.0
29,cyclopentane,63,C1COCCO1,47.0
30,butan-2-ol,61,CCCCOCCO,38.0
31,decane,60,OCCCO,36.0
32,"1,4-dioxane",47,OCCCCO,36.0
33,2-butoxyethanol,38,COc1ccccc1,34.0
34,"1,3-propanediol",36,CCCCCCCCO,32.0
35,"1,4-butanediol",36,C1CCOC1,32.0
36,methoxybenzene,34,CC(C)CO,31.0
37,tetrahydrofuran,32,CCCCCCO,31.0
38,1-octanol,32,CCCCCCCCCO,28.0
39,1-hexanol,31,Cc1cccc(C)c1,25.0
40,2-methyl-1-propanol,31,CCCCCCCO,21.0
41,1-nonanol,28,COCCOC,17.0
42,"1,3-dimethylbenzene",25,OCCc1ccccc1,17.0
43,1-heptanol,21,Cc1ccccc1C,15.0
44,n-decane,20,Cc1ccc(C)cc1,14.0
45,2-phenylethanol,17,,
46,"1,2-dimethoxyethane",17,,
47,"1,2-dimethylbenzene",15,,
48,"1,4-dimethylbenzene",14,,
