,Component,SMILES,Count
0,ethanol,CCO,4565
1,1-butanol,CCCCO,2685
2,1-propanol,CCCO,2428
3,2-propanol,CC(C)O,2216
4,benzene,c1ccccc1,1924
5,"1,4-dimethylbenzene",Cc1ccc(C)cc1,1259
6,cyclohexane,C1CCCCC1,1186
7,2-methyl-2-propanol,CC(C)(C)O,1168
8,octane,CCCCCCCC,1147
9,1-heptanol,CCCCCCCO,1067
10,n-decane,CCCCCCCCCC,931
11,glycerol,OCC(O)CO,860
12,methanol,CO,853
13,toluene,Cc1ccccc1,806
14,1-hexanol,CCCCCCO,729
15,"1,2-dimethylbenzene",Cc1ccccc1C,663
16,"1,3-dimethylbenzene",Cc1cccc(C)c1,660
17,"1,2-propanediol",CC(O)CO,581
18,1-pentanol,CCCCCO,549
19,bis(2-hydroxyethyl) ether,OCCOCCO,476
20,pentane,CCCCC,459
21,"1,2-ethanediol",OCCO,433
22,tetrahydrofuran,C1CCOC1,406
23,2-methoxyethanol,COCCO,395
24,2-butoxyethanol,CCCCOCCO,374
25,ethylbenzene,CCc1ccccc1,367
26,2-phenylethanol,OCCc1ccccc1,349
27,1-octanol,CCCCCCCCO,329
28,"1,1,1-trimethanolethane",CC(CO)(CO)CO,324
29,1-propoxy-2-propanol,CCCOCC(C)O,318
30,cyclopentanol,OC1CCCC1,287
31,"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1,285
32,cyclohexanol,OC1CCCCC1,280
33,cis-decalin,C1CC[C@@H]2CCCC[C@@H]2C1,278
34,"2-ethyl-2-(hydroxymethyl)-1,3-propanediol",CCC(CO)(CO)CO,270
35,"1,5-pentanediol",OCCCCCO,269
36,"1,6-hexanediol",OCCCCCCO,255
37,methylcyclohexane,CC1CCCCC1,253
38,pentaerythritol,OCC(CO)(CO)CO,249
39,nonane,CCCCCCCCC,242
40,"1,2-dimethoxyethane",COCCOC,236
41,hexane,CCCCCC,234
42,methoxybenzene,OC1CCCCCC1,222
43,cycloheptanol,COc1ccccc1,222
44,"1,8-octanediol",OCCCCCCCCO,220
45,"1,3-butanediol",CC(O)CCO,218
46,neopentyl alcohol,CC(C)(C)CO,213
47,2-methyl-1-propanol,CC(C)CO,210
48,"2-methyl-1,3-propanediol",CC(CO)CO,209
49,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,205
50,butan-2-ol,CCC(C)O,202
51,heptane,CCCCCCC,198
52,"3,6-dioxaoctane",COCCOCCO,196
53,2-(2-methoxyethoxy)ethanol,CCOCCOCC,196
54,ribitol,OC[C@@H](O)[C@@H](O)[C@@H](O)CO,193
55,"2,5,8-trioxanonane",COCCOCCOC,188
56,cyclohexylmethanol,OCC1CCCCC1,176
57,2-cyclohexylethanol,OCCC1CCCCC1,175
58,diethoxymethane,CCOCOCC,173
59,propane,CCC,157
60,"1,4-butanediol",CC(C)(CO)CO,156
61,cyclooctanol,OC1CCCCCCC1,156
62,"2,2-dimethyl-1,3-propanediol",OCCCCO,156
63,2-methyl-2-butanol,CCC(C)(C)O,150
64,"3-methylpentane-1,5-diol",CC(CCO)CCO,138
65,"1,3-propanediol",OCCCO,120
66,"2,5-hexanediol",CC(O)CCC(C)O,114
67,4-methylphenol,Cc1ccc(O)cc1,109
68,tetralin,C1CCc2ccccc2C1,100
69,"1,2-hexanediol",CCCCC(O)CO,96
70,benzyl alcohol,OCc1ccccc1,90
71,"1,2,4-trimethylbenzene",Cc1ccc(C)c(C)c1,84
72,tetrahydropyran,C1CCOCC1,84
73,"1,5-hexanediol",CC(O)CCCCO,75
74,dibutyl ether,CCCCOCCCC,73
75,"1,3-benzenediol",Oc1cccc(O)c1,72
76,ethylcyclohexane,CC1CCC(C)C(C)C1,66
77,butylcyclohexane,CCCCC1CCCCC1,66
78,"1,2,4-trimethylcyclohexane",CCC1CCCCC1,66
79,2-ethyl-1-hexanol,CCCCC(CC)CO,58
80,"ethanol, 2-ethoxy-",CCOCCO,47
81,2-(2-methylpropoxy)ethanol,CC(C)COCCO,45
82,"1,2-benzenediol",Oc1ccccc1O,40
83,xyliton,OC[C@H](O)C(O)[C@H](O)CO,40
84,triethylene glycol,C1CCCC1,39
85,cyclopentane,OCCOCCOCCO,39
86,3-methylphenol,Cc1cccc(O)c1,32
87,2-methylphenol,CC(C)OC(C)C,32
88,isopropyl ether,Cc1ccccc1O,32
89,"furfuryl alcohol, tetrahydro-",OCC1CCCO1,30
90,tetrole,CC,27
91,ethane,o1cccc1,27
92,methane,C,25
93,2-hydroxymethylfuran,OCc1occc1,24
94,"3,6-dioxa-1-octanol",CCOCCOCCO,24
95,diethyl ether,CCOCC,22
96,water,O,18
97,2-isopropoxyethanol,CC(C)OCCO,18
98,"2,3-butanediol",CCC(O)CO,14
99,"1,2-butanediol",CC(O)C(C)O,14
100,"1,3-dioxolane",C1COCO1,12
101,ethoxybenzene,CCOc1ccccc1,12
102,"1,4-dioxane",c1ccc2ccccc2c1,10
103,naphthalene,Oc1ccccc1,10
104,phenol,C1COCCO1,10
105,isooctane,CCCCCC(C)C,9
106,glycidol,OCC1CO1,1
