,Component,SMILES,Count
0,1-butanol,CCCCO,740
1,"1,4-dimethylbenzene",Cc1ccc(C)cc1,600
2,"1,3-dimethylbenzene",Cc1cccc(C)c1,557
3,2-methyl-2-butanol,CCC(C)(C)O,450
4,benzene,c1ccccc1,382
5,1-propanol,CCCO,343
6,ethanol,CCO,336
7,toluene,Cc1ccccc1,325
8,2-propanol,CC(C)O,286
9,ethylbenzene,CCc1ccccc1,242
10,"1,3-butanediol",CC(O)CCO,204
11,2-phenylethanol,OCCc1ccccc1,198
12,2-methoxyethanol,COCCO,197
13,1-heptanol,CCCCCCCO,181
14,benzyl alcohol,OCc1ccccc1,156
15,2-butoxyethanol,CCCCOCCO,155
16,"1,4-butanediol",OCCCCO,142
17,butan-2-ol,CCC(C)O,136
18,1-hexanol,CCCCCCO,124
19,"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1,115
20,octane,CCCCCCCC,113
21,1-octanol,CCCCCCCCO,104
22,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,94
23,1-pentanol,CCCCCO,78
24,cyclohexane,C1CCCCC1,73
25,methylcyclohexane,CC1CCCCC1,73
26,2-methyl-1-propanol,CC(C)CO,71
27,tetrahydrofuran,C1CCOC1,68
28,"1,2-ethanediol",OCCO,67
29,cyclopentane,C1CCCC1,66
30,hexane,CCCCCC,62
31,methoxybenzene,COc1ccccc1,54
32,"1,4-dioxane",C1COCCO1,51
33,isopropyl ether,CC(C)OC(C)C,49
34,2-methyl-2-propanol,CC(C)(C)O,45
35,methanol,CO,31
36,"ethanol, 2-ethoxy-",CCOCCO,27
37,diethyl ether,CCOCC,23
38,"2,5,8-trioxanonane",COCCOCCOC,18
39,cyclohexanol,OC1CCCCC1,15
40,tetrahydropyran,C1CCOCC1,14
41,"1,2-dimethylbenzene",Cc1ccccc1C,14
42,2-ethyl-1-hexanol,CCCCC(CC)CO,10
