,Component,SMILES,Count
0,dibutyl ether,CCCCOCCCC,478
1,water,O,376
2,cyclohexane,C1CCCCC1,174
3,tetrahydropyran,C1CCOCC1,172
4,methyl tert-butyl ether,COC(C)(C)C,140
5,heptane,CCCCCCC,122
6,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,114
7,2-ethoxyethanol,CCOCCO,104
8,octane,CCCCCCCC,91
9,toluene,Cc1ccccc1,90
10,methyl alcohol,CO,87
11,benzene,c1ccccc1,86
12,2-pentanol,CCCO,84
13,n-propyl alcohol,CCCC(C)O,84
14,methoxymethane,CC(C)O,76
15,2-propanol,COC,76
16,hexane,CCCCCC,74
17,cyclopentane,C1CCCC1,63
18,decane,CCCCCCCCCC,60
19,nonane,CCCCCCCCC,59
20,2-methyl-2-butanol,CCC(C)(C)O,50
21,isopropyl ether,CC(C)OC(C)C,49
22,"1,4-dioxane",CC1CCCCC1,38
23,methylcyclohexane,CCCCOCCO,38
24,2-butoxyethanol,C1COCCO1,38
25,methoxybenzene,COc1ccccc1,34
26,1-nonanol,CCCCCCCCCO,18
27,"1,2-dimethoxyethane",COCCOC,17
28,2-methyl-1-propanol,CC(C)CO,14
29,"1,3-dimethylbenzene",Cc1cccc(C)c1,11
30,ethanol,CCCCCCCO,10
31,1-butanol,CCCCO,10
32,1-pentanol,CCCCCO,10
33,1-heptanol,CCO,10
