,Mixture,Mixture Count
0,tert-pentyl alcohol__water,16
1,"1-butanol, 3-methyl-__water",15
2,2-methyl-1-butanol__water,15
3,pentan-2-ol__water,13
4,3-pentanol__water,11
5,3-methyl-2-butanol__water,10
6,furan__water,9
7,1-butanol__water,8
8,glycerol__water,5
9,toluene__methoxymethane,5
10,"1,4-dimethylbenzene__butane",5
11,"decane__1,3-propanediol",5
12,"propane__1,4-dimethylbenzene",5
13,glycerol__ethanol,5
14,"1,2-dimethylbenzene__methoxymethane",5
15,"octane__1,3-propanediol",5
16,"2-methylpropane__1,4-dimethylbenzene",5
17,"1,4-dimethylbenzene__methoxymethane",5
18,2-methylpropane__toluene,4
19,"butane, 2-ethoxy-2-methyl-__water",4
20,"2-methylpropane__1,2-dimethylbenzene",4
21,benzene__methoxymethane,4
22,"propane__1,2-dimethylbenzene",4
23,butane__toluene,4
24,benzene__propane,4
25,"2-methylpropane__1,3-dimethylbenzene",4
26,"1,3-dimethylbenzene__methoxymethane",4
27,toluene__water,4
28,methyl tert-butyl ether__water,4
29,"propane__1,3-dimethylbenzene",4
30,"1,2-dimethylbenzene__butane",4
31,tert-amyl methyl ether__water,4
32,benzene__2-methylpropane,4
33,tert-butyl ethyl ether__water,4
34,propane__toluene,4
35,benzene__butane,4
36,"butane__1,3-dimethylbenzene",4
37,diethylene glycol__n-nonane,3
38,triethylene glycol__n-heptane,3
39,n-octane__triethylene glycol,3
40,n-nonane__triethylene glycol,3
41,triethylene glycol__cycloheptane,3
42,2-propanol__triethylene glycol,3
43,ethanol__triethylene glycol,3
44,diethylene glycol__cycloheptane,3
45,n-hexane__diethylene glycol,3
46,diethylene glycol__cyclopentane,3
47,cyclohexane__diethylene glycol,3
48,cyclohexane__triethylene glycol,3
49,2-propanol__diethylene glycol,3
50,benzene__triethylene glycol,3
51,ethylbenzene__triethylene glycol,3
52,ethylbenzene__diethylene glycol,3
53,1-propanol__triethylene glycol,3
54,diethylene glycol__cyclooctane,3
55,toluene__diethylene glycol,3
56,n-pentane__triethylene glycol,3
57,diethylene glycol__n-heptane,3
58,"hexane__1,3-propanediol",3
59,n-pentane__diethylene glycol,3
60,methanol__diethylene glycol,3
61,1-propanol__diethylene glycol,3
62,triethylene glycol__cyclooctane,3
63,n-hexane__triethylene glycol,3
64,triethylene glycol__cyclopentane,3
65,"1,2-ethanediol__hexane",3
66,toluene__triethylene glycol,3
67,diethylene glycol__n-octane,3
68,"1,2-ethanediol__decane",3
69,ethanol__diethylene glycol,3
70,benzene__diethylene glycol,3
71,methanol__triethylene glycol,2
72,2-methylphenol__nonane,2
73,3-methylphenol__nonane,2
74,methyl cellosolve__n-decane,1
75,methylcyclopentane__methyl cellosolve,1
76,propylene glycol__n-octane,1
77,methyl cellosolve__cyclohexane,1
78,methyl cellosolve__cyclooctane,1
79,2-methylphenol__decane,1
80,methylcyclohexane__methyl cellosolve,1
81,benzene__methyl cellosolve,1
82,m-xylene__methyl cellosolve,1
83,propylene glycol__toluene,1
84,propylene glycol__benzene,1
85,o-xylene__methyl cellosolve,1
86,propylene glycol__ethylbenzene,1
87,propylene glycol__m-xylene,1
88,propylene glycol__naphthalene,1
89,3-methylphenol__decane,1
90,p-cymene__methyl cellosolve,1
91,toluene__methyl cellosolve,1
92,naphthalene__methyl cellosolve,1
93,propylene glycol__n-heptane,1
94,ethylbenzene__methyl cellosolve,1
95,p-xylene__methyl cellosolve,1
96,methyl cellosolve__n-heptane,1
97,methyl cellosolve__n-hexane,1
98,propylene glycol__n-hexane,1
99,methyl cellosolve__n-nonane,1
100,propylene glycol__o-xylene,1
101,propylene glycol__p-xylene,1
102,methyl cellosolve__n-octane,1
