,Mixture,Count
0,2-methyl-1-butanol__water,15
1,"1-butanol, 3-methyl-__water",15
2,pentan-2-ol__water,13
3,1-butanol__water,8
4,"decane__1,3-propanediol",5
5,"octane__1,3-propanediol",5
6,"2-methylpropane__1,4-dimethylbenzene",5
7,"propane__1,4-dimethylbenzene",5
8,glycerol__water,5
9,"1,4-dimethylbenzene__butane",5
10,"1,4-dimethylbenzene__methoxymethane",5
11,glycerol__ethanol,5
12,toluene__methoxymethane,5
13,"1,3-dimethylbenzene__methoxymethane",4
14,benzene__methoxymethane,4
15,butane__toluene,4
16,benzene__propane,4
17,benzene__2-methylpropane,4
18,"2-methylpropane__1,3-dimethylbenzene",4
19,benzene__butane,4
20,"propane__1,3-dimethylbenzene",4
21,methyl tert-butyl ether__water,4
22,"butane__1,3-dimethylbenzene",4
23,2-methylpropane__toluene,4
24,toluene__water,4
25,tert-butyl ethyl ether__water,4
26,propane__toluene,4
27,benzene__triethylene glycol,3
28,cyclohexane__triethylene glycol,3
29,1-propanol__triethylene glycol,3
30,n-nonane__triethylene glycol,3
31,ethylbenzene__triethylene glycol,3
32,"1,2-ethanediol__decane",3
33,triethylene glycol__cyclooctane,3
34,2-propanol__triethylene glycol,3
35,toluene__triethylene glycol,3
36,triethylene glycol__cyclopentane,3
37,n-pentane__triethylene glycol,3
38,ethanol__triethylene glycol,3
39,"hexane__1,3-propanediol",3
40,triethylene glycol__n-heptane,3
41,n-hexane__triethylene glycol,3
42,"1,2-ethanediol__hexane",3
43,n-octane__triethylene glycol,3
44,methanol__triethylene glycol,2
