,Mixture,Count
0,tert-pentyl alcohol__heptane,450
1,"1,3-dimethylbenzene__methyl tert-butyl ether",195
2,"1,4-dimethylbenzene__tert-butyl ethyl ether",195
3,"1,4-dimethylbenzene__methyl tert-butyl ether",195
4,"1,3-dimethylbenzene__tert-butyl ethyl ether",195
5,"1,4-butanediol__water",142
6,.beta.-butylene glycol__water,138
7,"1-heptanol__1,4-dioxane",126
8,1-butanol__toluene,88
9,"1-butanol__2,2,4-trimethylpentane",80
10,2-propanol__cyclohexane,78
11,"toluene__2,2,4-trimethylpentane",77
12,ethanol__toluene,71
13,2-butoxyethanol__1-octanol,70
14,1-propanol__2-butoxyethanol,70
15,2-propanol__2-butoxyethanol,70
16,1-butanol__2-butoxyethanol,70
17,1-hexanol__2-butoxyethanol,70
18,2-butanol__2-butoxyethanol,70
19,"2-propanol__1,3-propanediol",66
20,1-butanol__methyl tert-butyl ether,66
21,"1,3-butanediol__1,2-butanediol",66
22,"1-propanol__1,3-propanediol",66
23,"(RS)-2-butanol__1,2-butanediol",66
24,"benzenemethanol__1,2-butanediol",66
25,2-phenylethanol__1-propanol,66
26,"2-phenylethanol__1,2-butanediol",66
27,2-phenylethanol__2-propanol,66
28,octane__methyl tert-butyl ether,65
29,1-butanol__hexane,60
30,2-methoxyethanol__2-butoxyethanol,57
31,1-octanol__dibutyl ether,56
32,1-pentanol__dibutyl ether,56
33,"1,2-ethanediol__1-nonanol",55
34,"2,2,4-trimethylpentane__methyl tert-butyl ether",55
35,1-butanol__dibutyl ether,55
36,1-heptanol__dibutyl ether,55
37,1-hexanol__dibutyl ether,54
38,"butan-1-ol__butane, 1,4-dihydroxy-",54
39,1-butanol__cyclohexane,51
40,toluene__tetrahydropyran,50
41,methylcyclohexane__toluene,50
42,benzene__tetrahydropyran,50
43,benzene__methylcyclohexane,50
44,"1,4-dimethylbenzene__1-nonanol",48
45,1-butanol__octane,48
46,ethylbenzene__1-nonanol,48
47,tetrahydrofuran__octyl alcohol,48
48,octane__1-octanol,48
49,2-methoxyethanol__1-octanol,48
50,1-butanol__decane,48
51,"1,3-dimethylbenzene__1-nonanol",48
52,hexane__1-octanol,48
53,1-octanol__decane,48
54,benzene__2-ethyl-1-hexanol,48
55,toluene__methyl tert-butyl ether,46
56,2-butoxyethan-1-ol__water,45
57,benzene__cyclohexane,44
58,"2-methoxyethanol__ethanol, 2-ethoxy-",44
59,ethanol__heptane,39
60,ethanol__cyclopentane,39
61,toluene__tert-butyl ethyl ether,39
62,ethanol__cyclohexane,39
63,ethylbenzene__tert-butyl ethyl ether,39
64,benzene__tert-butyl ethyl ether,39
65,2-propanol__cyclopentane,39
66,1-butanol__cyclopentane,39
67,ethylbenzene__methylcyclohexane,39
68,toluene__cyclohexane,39
69,"2,2,4-trimethylpentane__tert-butyl ethyl ether",39
70,ethylbenzene__cyclohexane,39
71,2-methyl-2-propanol__tert-butyl ethyl ether,39
72,ethanol__tert-butyl ethyl ether,39
73,ethanol__hexane,39
74,1-propanol__cyclohexane,39
75,1-propanol__cyclopentane,39
76,cyclopentane__2-pentanol,39
77,"1,3,5-trimethylbenzene__methylcyclohexane",37
78,"1,4-dimethylbenzene__methylcyclohexane",37
79,1-butanol__tetrahydropyran,35
80,"1,4-dimethylbenzene__decane",33
81,"1,4-dioxane__cyclopentane",33
82,"cyclohexane__1,4-dioxane",33
83,"benzene__1,4-dioxane",33
84,methyl phenyl ether__1-nonanol,32
