,filename,x1,x2,smiles1,smiles2,components,Mole fraction,"Mass density, kg/m3","Mass density, kg/m3_std"
12324,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0,964.88,0.05
12325,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.0501,950.05,0.05
12326,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.1,936.06,0.05
12327,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.1508,921.99,0.05
12328,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.2,908.51,0.05
12329,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.2512,894.84,0.05
12330,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.299,882.19,0.05
12331,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.3489,869.14,0.05
12332,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.4,856.06,0.05
12333,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.4503,843.79,0.05
12334,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.499,832.46,0.05
12335,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.55,821.14,0.05
12336,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.61,808.56,0.05
12337,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.6599,798.66,0.05
12338,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.7,790.96,0.05
12339,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.7511,781.59,0.05
12340,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.8,773.01,0.05
12341,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.8489,764.84,0.05
12342,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.9,756.5,0.05
12343,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.949,748.89,0.05
12344,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,1,741.11,0.05
12345,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0,960.29,0.05
12346,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.0501,944.7,0.05
12347,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.1,930.57,0.05
12348,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.1508,916.4,0.05
12349,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.2,902.92,0.05
12350,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.2512,889.15,0.05
12351,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.299,876.57,0.05
12352,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.3489,863.45,0.05
12353,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.4,850.34,0.05
12354,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.4503,837.98,0.05
12355,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.499,826.63,0.05
12356,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.55,815.31,0.05
12357,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.61,802.72,0.05
12358,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.6599,792.76,0.05
12359,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.7,785.07,0.05
12360,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.7511,775.75,0.05
12361,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.8,767.18,0.05
12362,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.8489,759.04,0.05
12363,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.9,750.81,0.05
12364,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.949,743.23,0.05
12365,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,1,735.59,0.05
12366,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0,955.76,0.05
12367,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.0501,939.45,0.05
12368,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.1,925.31,0.05
12369,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.1508,911.08,0.05
12370,j.jct.2004.09.014,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C,2-methoxyethanol__tert-butyl ethyl ether,0.2,897.66,0.05
