;Component;SMILES;Count dens pure;Count cpmol pure;Count sos pure;Count dielec pure;Count hmol pure;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Count emv binary;Count all
0;oxidane;O;634.0;54.0;183.0;31.0;0.0;10916.0;122.0;964.0;34.0;376.0;390.0;578.0;14282.0
2;ethanol;CCO;1169.0;86.0;91.0;8.0;0.0;4585.0;11.0;408.0;105.0;507.0;0.0;23.0;6993.0
3;Butan-1-ol;CCCCO;1327.0;49.0;85.0;11.0;0.0;2773.0;8.0;897.0;105.0;581.0;130.0;71.0;6037.0
5;HEPTANE;CCCCCCC;1254.0;39.0;132.0;3.0;12.0;2147.0;8.0;560.0;64.0;202.0;0.0;14.0;4435.0
6;Propan-1-ol;CCCO;659.0;18.0;78.0;7.0;0.0;2785.0;6.0;496.0;105.0;202.0;0.0;0.0;4356.0
7;Propan-2-ol;CC(C)O;357.0;6.0;53.0;5.0;0.0;2433.0;6.0;418.0;105.0;139.0;0.0;0.0;3522.0
11;methanol;CO;606.0;75.0;142.0;7.0;0.0;982.0;5.0;31.0;620.0;297.0;0.0;0.0;2765.0
12;Cyclohexane;C1CCCCC1;368.0;21.0;55.0;0.0;0.0;1465.0;7.0;520.0;0.0;302.0;0.0;14.0;2752.0
14;HEXAN-1-OL;CCCCCCO;664.0;8.0;64.0;2.0;0.0;1073.0;0.0;300.0;0.0;50.0;0.0;0.0;2161.0
16;Methylcyclohexane;CC1CCCCC1;142.0;0.0;8.0;0.0;0.0;1478.0;1.0;354.0;0.0;76.0;0.0;0.0;2059.0
18;2-Ethoxy-2-methylpropane;CCOC(C)(C)C;32.0;0.0;24.0;0.0;0.0;1048.0;4.0;819.0;0.0;0.0;0.0;0.0;1927.0
19;2-Methylpropan-2-ol;CC(C)(C)O;65.0;0.0;16.0;0.0;0.0;1435.0;0.0;177.0;95.0;0.0;0.0;0.0;1788.0
21;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C;45.0;0.0;12.0;0.0;0.0;1216.0;0.0;261.0;0.0;156.0;0.0;0.0;1690.0
22;Pentan-1-ol;CCCCCO;396.0;0.0;78.0;10.0;0.0;670.0;0.0;89.0;90.0;299.0;0.0;0.0;1632.0
26;2-Methylpropan-1-ol;CC(C)CO;721.0;0.0;15.0;5.0;0.0;399.0;0.0;71.0;105.0;31.0;0.0;0.0;1347.0
30;Hexane;CCCCCC;196.0;0.0;93.0;0.0;0.0;402.0;14.0;223.0;0.0;139.0;0.0;87.0;1154.0
32;2-Methylbutan-2-ol;CCC(C)(C)O;37.0;88.0;43.0;0.0;0.0;248.0;16.0;450.0;0.0;98.0;0.0;39.0;1019.0
35;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1;35.0;11.0;19.0;0.0;0.0;289.0;0.0;254.0;0.0;218.0;0.0;112.0;938.0
37;Cyclopentane;C1CCCC1;18.0;0.0;15.0;0.0;0.0;412.0;6.0;398.0;0.0;63.0;0.0;0.0;912.0
38;2-Methoxyethanol;COCCO;35.0;0.0;10.0;0.0;0.0;517.0;17.0;306.0;0.0;0.0;0.0;0.0;885.0
41;Oxolane;C1CCOC1;96.0;0.0;43.0;0.0;0.0;457.0;0.0;116.0;0.0;98.0;0.0;39.0;849.0
46;2-Methylheptane;CCCCCC(C)C;107.0;10.0;0.0;0.0;0.0;413.0;0.0;72.0;0.0;42.0;0.0;0.0;644.0
47;1,4-Dioxane;C1COCCO1;77.0;0.0;32.0;3.0;0.0;241.0;0.0;243.0;0.0;47.0;0.0;0.0;643.0
