;Component;SMILES;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Count emv binary;Count all binary
0;oxidane;O;10916.0;122.0;964.0;34.0;376.0;390.0;578.0;13380.0
1;ethanol;CCO;4585.0;11.0;408.0;105.0;507.0;0.0;23.0;5639.0
5;Butan-1-ol;CCCCO;2773.0;8.0;897.0;105.0;581.0;130.0;71.0;4565.0
2;HEPTANE;CCCCCCC;3328.0;8.0;560.0;64.0;202.0;0.0;14.0;4176.0
3;octane;CCCCCCCC;3184.0;13.0;226.0;90.0;110.0;0.0;0.0;3623.0
4;Propan-1-ol;CCCO;2785.0;6.0;496.0;105.0;202.0;0.0;0.0;3594.0
6;methylbenzene;Cc1ccccc1;2663.0;29.0;660.0;0.0;158.0;0.0;14.0;3524.0
7;Cyclohexane;C1CCCCC1;2548.0;7.0;520.0;0.0;336.0;0.0;14.0;3425.0
9;2-Methoxy-2-methylpropane;COC(C)(C)C;2321.0;4.0;838.0;0.0;140.0;0.0;0.0;3303.0
8;Propan-2-ol;CC(C)O;2433.0;6.0;418.0;105.0;139.0;0.0;0.0;3101.0
10;BENZENE;c1ccccc1;2314.0;24.0;393.0;0.0;229.0;0.0;14.0;2974.0
17;1-Butoxybutane;CCCCOCCCC;1271.0;0.0;349.0;90.0;576.0;0.0;0.0;2286.0
11;Decane;CCCCCCCCCC;2033.0;11.0;145.0;0.0;80.0;0.0;0.0;2269.0
12;Nonane;CCCCCCCCC;1719.0;11.0;38.0;132.0;79.0;0.0;0.0;1979.0
21;methanol;CO;982.0;5.0;31.0;620.0;297.0;0.0;0.0;1935.0
13;Methylcyclohexane;CC1CCCCC1;1478.0;1.0;354.0;0.0;76.0;0.0;0.0;1909.0
18;1,4-Dimethylbenzene;Cc1ccc(C)cc1;1259.0;22.0;600.0;0.0;14.0;0.0;14.0;1909.0
20;2-Ethoxy-2-methylpropane;CCOC(C)(C)C;1048.0;4.0;819.0;0.0;0.0;0.0;0.0;1871.0
15;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C;1370.0;0.0;261.0;0.0;156.0;0.0;0.0;1787.0
14;2-Methylpropan-2-ol;CC(C)(C)O;1435.0;0.0;177.0;95.0;0.0;0.0;0.0;1707.0
16;Heptan-1-ol;CCCCCCCO;1293.0;0.0;235.0;0.0;21.0;0.0;0.0;1549.0
19;HEXAN-1-OL;CCCCCCO;1073.0;0.0;300.0;0.0;50.0;0.0;0.0;1423.0
24;2-Butoxyethanol;CCCCOCCO;781.0;0.0;562.0;0.0;38.0;0.0;0.0;1381.0
23;OCTAN-1-OL;CCCCCCCCO;812.0;0.0;476.0;0.0;32.0;0.0;0.0;1320.0
27;1,2-Dimethylbenzene;Cc1ccccc1C;663.0;19.0;592.0;0.0;29.0;0.0;14.0;1317.0
28;1,3-Dimethylbenzene;Cc1cccc(C)c1;660.0;18.0;557.0;0.0;25.0;0.0;14.0;1274.0
25;Pentan-1-ol;CCCCCO;670.0;0.0;89.0;90.0;299.0;0.0;0.0;1148.0
29;Hexane;CCCCCC;651.0;14.0;223.0;0.0;157.0;0.0;87.0;1132.0
31;Nonan-1-ol;CCCCCCCCCO;613.0;0.0;405.0;0.0;28.0;0.0;0.0;1046.0
26;PROPANE-1,2-DIOL;CC(O)CO;669.0;10.0;0.0;8.0;97.0;85.0;114.0;983.0
30;Ethane-1,2-diol;OCCO;615.0;6.0;87.0;10.0;0.0;79.0;135.0;932.0
40;Cyclopentane;C1CCCC1;412.0;6.0;398.0;0.0;63.0;0.0;0.0;879.0
22;PROPANE-1,2,3-TRIOL;OCC(O)CO;860.0;10.0;0.0;8.0;0.0;0.0;0.0;878.0
49;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1;289.0;0.0;254.0;0.0;218.0;0.0;112.0;873.0
62;2-Methylbutan-2-ol;CCC(C)(C)O;248.0;16.0;450.0;0.0;98.0;0.0;39.0;851.0
68;Butane-1,4-diol;OCCCCO;215.0;0.0;196.0;0.0;36.0;239.0;163.0;849.0
33;2-Methoxyethanol;COCCO;517.0;17.0;306.0;0.0;0.0;0.0;0.0;840.0
41;Propane-1,3-diol;OCCCO;406.0;13.0;132.0;8.0;36.0;64.0;104.0;763.0
34;Ethylbenzene;CCc1ccccc1;494.0;8.0;242.0;0.0;0.0;0.0;0.0;744.0
38;Oxolane;C1CCOC1;457.0;0.0;116.0;0.0;98.0;0.0;39.0;710.0
32;2-(2-Hydroxyethoxy)ethanol;OCCOCCO;588.0;48.0;0.0;39.0;0.0;0.0;0.0;675.0
48;phenylmethanol;OCc1ccccc1;300.0;0.0;156.0;0.0;176.0;0.0;0.0;632.0
37;Methoxybenzene;COc1ccccc1;466.0;0.0;109.0;0.0;51.0;0.0;0.0;626.0
42;2-Methylpropan-1-ol;CC(C)CO;399.0;0.0;71.0;105.0;31.0;0.0;0.0;606.0
35;1,2-Dimethoxyethane;COCCOC;488.0;0.0;0.0;97.0;17.0;0.0;0.0;602.0
44;2-PHENYLETHANOL;OCCc1ccccc1;349.0;0.0;198.0;0.0;34.0;0.0;0.0;581.0
53;butane-1,2-diol;CCC(O)CO;278.0;0.0;277.0;0.0;0.0;0.0;14.0;569.0
63;1,4-Dioxane;C1COCCO1;241.0;0.0;243.0;0.0;47.0;0.0;0.0;531.0
39;2-Methylheptane;CCCCCC(C)C;413.0;0.0;72.0;0.0;42.0;0.0;0.0;527.0
36;Pentane;CCCCC;483.0;6.0;0.0;0.0;0.0;0.0;0.0;489.0
47;1-Propoxypropan-2-ol;CCCOCC(C)O;318.0;0.0;145.0;0.0;0.0;0.0;0.0;463.0
46;2-(2-Methoxyethoxy)ethanol;COCCOCCO;320.0;0.0;140.0;0.0;0.0;0.0;0.0;460.0
67;Butane-1,3-diol;CC(O)CCO;218.0;0.0;204.0;0.0;0.0;0.0;14.0;436.0
72;Butan-2-ol;CCC(C)O;202.0;0.0;136.0;0.0;85.0;0.0;0.0;423.0
56;;C1CCCCCCC1;271.0;7.0;144.0;0.0;0.0;0.0;0.0;422.0
51;1,3,5-Trimethylbenzene;Cc1cc(C)cc(C)c1;285.0;0.0;115.0;0.0;0.0;0.0;0.0;400.0
96;2-Ethoxyethanol;CCOCCO;91.0;0.0;71.0;0.0;221.0;0.0;0.0;383.0
59;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC;257.0;0.0;18.0;99.0;0.0;0.0;0.0;374.0
52;Cyclohexanol;OC1CCCCC1;280.0;0.0;15.0;0.0;68.0;0.0;0.0;363.0
71;1,3-DIOXOLANE;C1COCO1;204.0;0.0;148.0;0.0;0.0;0.0;0.0;352.0
43;;C1CC2C3CCC(C3)C2C1;352.0;0.0;0.0;0.0;0.0;0.0;0.0;352.0
45;2-(hydroxymethyl)-2-methylpropane-1,3-diol;CC(CO)(CO)CO;324.0;0.0;0.0;0.0;0.0;0.0;0.0;324.0
81;1-Butoxypropan-2-ol;CCCCOCC(C)O;160.0;0.0;160.0;0.0;0.0;0.0;0.0;320.0
85;2-Propoxyethanol;CCCOCCO;151.0;0.0;73.0;78.0;0.0;0.0;0.0;302.0
64;3-Methylbutan-1-ol;CC(C)CCO;235.0;15.0;52.0;0.0;0.0;0.0;0.0;302.0
50;Cyclopentanol;OC1CCCC1;287.0;0.0;0.0;0.0;0.0;0.0;0.0;287.0
98;2-propan-2-yloxypropane;CC(C)OC(C)C;88.0;0.0;97.0;0.0;101.0;0.0;0.0;286.0
54;;C1CC[C@H]2CCCC[C@@H]2C1;278.0;0.0;0.0;0.0;0.0;0.0;0.0;278.0
55;;C1CC[C@@H]2CCCC[C@@H]2C1;278.0;0.0;0.0;0.0;0.0;0.0;0.0;278.0
61;2,2-bis(hydroxymethyl)propane-1,3-diol;OCC(CO)(CO)CO;249.0;0.0;22.0;0.0;0.0;0.0;0.0;271.0
57;2-ethyl-2-(hydroxymethyl)propane-1,3-diol;CCC(CO)(CO)CO;270.0;0.0;0.0;0.0;0.0;0.0;0.0;270.0
58;Pentane-1,5-diol;OCCCCCO;269.0;0.0;0.0;0.0;0.0;0.0;0.0;269.0
90;pentan-2-ol;CCCC(C)O;126.0;13.0;39.0;0.0;84.0;0.0;0.0;262.0
