,Component,SMILES,Count
0,2-methyl-2-butanol,CCC(C)(C)O,88
1,ethanol,CCO,86
2,methoxymethane,COC,81
3,methanol,CO,75
4,2-methyl-1-butanol,CCC(C)CO,73
5,cyclopentanol,OC1CCCC1,72
6,"1,4-butanediol",OCCCCO,68
7,3-pentanol,CCC(O)CC,65
8,neopentyl alcohol,CC(C)(C)CO,61
9,water,O,54
10,hexylene glycol,OCCCCCCO,51
11,1-butanol,CCCCO,49
12,"1,2-ethanediol",CCCC(C)O,47
13,"1,3-propanediol",OCCO,47
14,2-pentanol,OCCCO,47
15,"1,5-pentanediol",OCCCCCO,42
16,"1,7-heptanediol",OCCCCCCCO,41
17,heptane,CCCCCCC,39
18,"1,2-butanediol",CCC(O)CO,31
19,3-methyl-2-butanol,CC(C)C(C)O,30
20,cyclohexane,C1CCCCC1,21
21,"propanol, oxybis-",CCCO,18
22,1-propanol,OCCCOCCCO,18
23,ribitol,OC[C@@H](O)[C@@H](O)[C@@H](O)CO,17
24,"1,8-octanediol",OCCCCCCCCO,14
25,"2,3-butanediol",CC(O)C(C)O,12
26,"1,2-propanediol",CCCCCCCCO,12
27,1-octanol,CC(O)CO,12
28,tetrahydropyran,CCCCCCCC,11
29,octane,C1CCOCC1,11
30,2-methylheptane,CCCCCC(C)C,10
31,"1,3-butanediol",CC(O)CCO,8
32,1-hexanol,CCCCCCO,8
33,decane,CC1CCCO1,8
34,2-methyltetrahydrofuran,CCCCCCCCCC,8
35,2-ethyl-1-butanol,CCC(CC)CO,7
36,"cis-1,2-cyclohexanediol",c1ccccc1,6
37,2-propanol,OCCOCCO,6
38,benzene,CC(C)O,6
39,triethylene glycol,O[C@H]1CCCC[C@H]1O,6
40,bis(2-hydroxyethyl) ether,OCCOCCOCCO,6
41,"1,2-hexanediol",CCCCC(O)CO,5
42,toluene,Cc1ccc(C)cc1,3
43,xylene,Cc1ccccc1,3
44,"1,4-dimethylbenzene",Cc1ccccc1C,3
45,"1,4-cyclohexanediol, trans-",CCCCC(O)CCCC,1
46,5-nonanol,CCCCCC(O)CCC,1
47,4-heptanol,CCCCC(O)CCC,1
48,3-nonanol,O[C@@H]1CC[C@@H](O)CC1,1
49,3-octanol,CCCC(O)CO,1
50,4-nonanol,CCCCCCC(O)CC,1
51,"1,2-pentanediol",CCCCCCCC(C)O,1
52,2-nonanol,CCCCCCC(C)O,1
53,2-octanol,CCCC(O)CCC,1
54,2-heptanol,CCCCCC(C)O,1
55,4-octanol,CCCCCC(O)CC,1
