;InChI;Count;Component;SMILES
0;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;88;2-Methylbutan-2-ol;CCC(C)(C)O
1;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;86;ethanol;CCO
2;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;81;Methoxymethane;COC
3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;75;methanol;CO
4;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;73;2-Methylbutan-1-ol;CCC(C)CO
5;InChIKey=XCIXKGXIYUWCLL-UHFFFAOYSA-N;72;Cyclopentanol;OC1CCCC1
6;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;68;Butane-1,4-diol;OCCCCO
7;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;65;Pentan-3-ol;CCC(O)CC
8;InChIKey=KPSSIOMAKSHJJG-UHFFFAOYSA-N;61;2,2-dimethylpropan-1-ol;CC(C)(C)CO
9;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;54;oxidane;O
10;InChIKey=XXMIOPMDWAUFGU-UHFFFAOYSA-N;51;HEXANE-1,6-DIOL;OCCCCCCO
11;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;49;Butan-1-ol;CCCCO
12;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;47;Ethane-1,2-diol;OCCO
13;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;47;Propane-1,3-diol;OCCCO
14;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;47;pentan-2-ol;CCCC(C)O
15;InChIKey=ALQSHHUCVQOPAS-UHFFFAOYSA-N;42;Pentane-1,5-diol;OCCCCCO
16;InChIKey=SXCBDZAEHILGLM-UHFFFAOYSA-N;41;Heptane-1,7-diol;OCCCCCCCO
17;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;39;HEPTANE;CCCCCCC
18;InChIKey=BMRWNKZVCUKKSR-UHFFFAOYSA-N;31;butane-1,2-diol;CCC(O)CO
19;InChIKey=MXLMTQWGSQIYOW-UHFFFAOYSA-N;30;3-Methylbutan-2-ol;CC(C)C(C)O
20;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;21;Cyclohexane;C1CCCCC1
21;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;18;Propan-1-ol;CCCO
22;InChIKey=SZXQTJUDPRGNJN-UHFFFAOYSA-N;18;3-(3-hydroxypropoxy)propan-1-ol;OCCCOCCCO
23;InChIKey=HEBKCHPVOIAQTA-ZXFHETKHSA-N;17;;OC[C@H](O)[C@H](O)[C@H](O)CO
24;InChIKey=OEIJHBUUFURJLI-UHFFFAOYSA-N;14;Octane-1,8-diol;OCCCCCCCCO
25;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;12;PROPANE-1,2-DIOL;CC(O)CO
26;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;12;OCTAN-1-OL;CCCCCCCCO
27;InChIKey=OWBTYPJTUOEWEK-UHFFFAOYSA-N;12;;CC(O)C(C)O
28;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;11;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
29;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;11;octane;CCCCCCCC
