;filename;components;SMILES;CAS;InChI;Temperature, K;Pressure, kPa;Relative permittivity at zero frequency;Relative permittivity at zero frequency_std
199698;j.jct.2010.09.008;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;288.15;101.325;1.94;0.0194
199699;j.jct.2010.09.008;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.15;101.325;1.93;0.0193
199700;j.jct.2010.09.008;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;308.15;101.325;1.92;0.0192
559757;j.fluid.2009.07.009;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.325;23.87;0.07161
949503;je060248p;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;50000.0;25.56;0.02556
949504;je060248p;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;100000.0;26.46;0.02646
949519;je060248p;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;50000.0;18.29;0.01829
949520;je060248p;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;100000.0;18.87;0.01887
1227397;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;273.15;101.0;87.0;0.05
1227398;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;275.15;101.0;86.36;0.05
1227399;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;277.15;101.0;85.67;0.05
1227400;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;279.15;101.0;84.84;0.05
1227401;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;281.15;101.0;84.25;0.05
1227402;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;283.15;101.0;83.37;0.05
1227403;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;285.15;101.0;82.73;0.05
1227404;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;287.15;101.0;82.02;0.05
1227405;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;289.15;101.0;81.33;0.05
1227406;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;291.15;101.0;80.65;0.05
1227407;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.15;101.0;79.98;0.05
1227408;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;295.15;101.0;79.32;0.05
1227409;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;297.15;101.0;78.42;0.05
1227410;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;299.15;101.0;77.85;0.05
1227411;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;301.15;101.0;77.29;0.05
1227412;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.0;76.61;0.05
1227413;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;305.15;101.0;75.95;0.05
1227414;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;307.15;101.0;75.3;0.05
1227415;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;309.15;101.0;74.65;0.05
1227416;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;311.15;101.0;73.97;0.05
1227417;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;313.15;101.0;73.29;0.05
1227418;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;315.15;101.0;72.68;0.05
1227419;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;317.15;101.0;72.09;0.05
1227420;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;319.15;101.0;71.44;0.05
1227421;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;321.15;101.0;70.76;0.05
1227422;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;323.15;101.0;70.14;0.05
1227423;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;325.15;101.0;69.54;0.05
