,filename,components,smiles,"Specific volume, m3/kg","Specific volume, m3/kg_std"
740183,s10765-009-0625-z,benzene,c1ccccc1,0.0011377,0.0000001
1010240,je100083w,water,O,0.0009558,0.00000034
1010254,je100083w,water,O,0.0009559,0.00000034
1010256,je100083w,water,O,0.0009557,0.00000034
1010258,je100083w,water,O,0.0009686,0.00000023
1010262,je100083w,water,O,0.0009569,0.00000023
1010263,je100083w,water,O,0.0009688,0.00000023
1010265,je100083w,water,O,0.0009682,0.00000023
1010268,je100083w,water,O,0.0009564,0.00000023
1010270,je100083w,water,O,0.0009574,0.00000023
1010280,je100083w,water,O,0.0009704,0.00000023
1010287,je100083w,water,O,0.0009702,0.00000023
1010289,je100083w,water,O,0.0009592,0.00000023
1010290,je100083w,water,O,0.0009591,0.00000023
1010294,je100083w,water,O,0.0009703,0.00000023
1010298,je100083w,water,O,0.0009592,0.00000023
1010304,je100083w,water,O,0.0009619,0.00000023
1010307,je100083w,water,O,0.0009728,0.00000023
1010311,je100083w,water,O,0.000962,0.00000023
1010313,je100083w,water,O,0.0009729,0.00000023
1010315,je100083w,water,O,0.0009625,0.00000023
1010323,je100083w,water,O,0.0009732,0.00000023
1010324,je100083w,water,O,0.0009655,0.00000023
1010325,je100083w,water,O,0.0009758,0.00000023
1010326,je100083w,water,O,0.0009651,0.00000023
1010329,je100083w,water,O,0.0009757,0.00000023
1010330,je100083w,water,O,0.0009761,0.00000023
1010332,je100083w,water,O,0.0009653,0.00000023
1010347,je100083w,water,O,0.000969,0.00000023
1010348,je100083w,water,O,0.0009801,0.00000023
1010351,je100083w,water,O,0.0009799,0.00000023
1010352,je100083w,water,O,0.0009695,0.00000023
1010353,je100083w,water,O,0.0009696,0.00000023
1010356,je100083w,water,O,0.0009796,0.00000023
1010377,je100083w,water,O,0.0009737,0.00000023
1010378,je100083w,water,O,0.0009842,0.00000023
1010382,je100083w,water,O,0.0009846,0.00000023
1010383,je100083w,water,O,0.0009736,0.00000023
1010385,je100083w,water,O,0.0009742,0.00000023
1010386,je100083w,water,O,0.0009848,0.00000023
1631618,je9010568,ethanol,CCO,0.0011902,0.00000013
1631619,je9010568,ethanol,CCO,0.0011561,0.00000013
1631627,je9010568,"1,2-propanediol",CC(O)CO,0.0009432,0.00000013
1631628,je9010568,"1,2-propanediol",CC(O)CO,0.0009272,0.00000013
1631635,je9010568,"1,2-ethanediol",OCCO,0.0008813,0.00000013
1631636,je9010568,"1,2-ethanediol",OCCO,0.0008686,0.00000013
