,Component,SMILES,Component Count dens pure,Component Count cpmol pure,Component Count sos pure,Component Count dielec pure,Component Count hmol pure,Component Count vmol pure,Component Count vspec pure,Component Count dens binary,Component Count actcoeff binary,Component Count sos binary,Component Count dielec binary,Component Count eme binary,Component Count emcp binary,Component Count emv binary,Component Count all 
8,water,O,634,54,183,31,0,0,39,10916,122,964,34,376,390,578,14321
0,decane,CCCCCCCCCC,9289,8,21,0,0,0,0,1102,6,145,0,60,0,0,10631
3,ethanol,CCO,1169,86,91,8,0,0,2,4585,11,408,105,507,0,23,6995
1,1-butanol,CCCCO,1327,49,85,11,0,0,0,2773,8,897,105,581,130,71,6037
2,heptane,CCCCCCC,1254,39,132,3,12,1,0,3328,8,560,64,202,0,14,5617
7,toluene,Cc1ccccc1,641,3,235,51,0,0,0,2663,29,660,0,158,0,14,4454
14,octane,CCCCCCCC,317,11,16,8,0,0,0,3184,13,226,90,110,0,0,3975
11,cyclohexane,C1CCCCC1,368,21,55,0,0,11,0,2548,7,520,0,336,0,14,3880
6,1-propanol,CCCO,659,18,78,7,0,0,0,2428,6,430,0,118,0,0,3744
12,2-propanol,CC(C)O,357,6,53,5,0,0,0,2433,6,418,105,139,0,0,3522
53,methyl tert-butyl ether,COC(C)(C)C,59,0,33,0,0,0,0,2321,4,838,0,140,0,0,3395
19,benzene,c1ccccc1,251,6,45,0,0,0,1,2314,24,393,0,229,0,14,3277
9,methanol,CO,606,75,142,7,0,0,0,853,5,31,515,210,0,0,2444
42,dibutyl ether,CCCCOCCCC,83,0,6,5,0,0,0,1271,0,349,90,576,0,0,2380
17,nonane,CCCCCCCCC,273,0,81,6,0,0,0,1719,11,38,132,79,0,0,2339
29,"1,4-dimethylbenzene",Cc1ccc(C)cc1,116,3,43,0,0,0,0,1259,22,600,0,14,0,14,2071
25,methylcyclohexane,CC1CCCCC1,142,0,8,0,0,0,0,1478,1,354,0,76,0,0,2059
16,1-heptanol,CCCCCCCO,313,0,77,2,0,0,0,1293,0,235,0,21,0,0,1941
64,tert-butyl ethyl ether,CCOC(C)(C)C,32,0,24,0,0,0,0,1048,4,819,0,0,0,0,1927
57,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,45,0,12,0,0,0,0,1370,0,261,0,156,0,0,1844
13,1-octanol,CCCCCCCCO,356,12,78,2,0,0,0,812,0,476,0,32,0,0,1768
5,1-hexanol,CCCCCCO,664,8,64,2,0,0,0,729,0,204,0,31,0,0,1702
10,1-pentanol,CCCCCO,396,0,78,10,0,0,0,670,0,89,90,299,0,0,1632
20,hexane,CCCCCC,196,0,93,0,0,0,0,651,14,223,0,157,0,87,1421
72,2-butoxyethanol,CCCCOCCO,20,0,5,0,0,0,0,781,0,562,0,38,0,0,1406
48,"1,3-dimethylbenzene",Cc1cccc(C)c1,76,0,22,0,0,0,0,660,18,557,0,25,0,14,1372
4,2-methyl-1-propanol,CC(C)CO,721,0,15,5,0,0,0,399,0,71,105,31,0,0,1347
15,"1,2-ethanediol",OCCO,314,47,26,1,0,0,2,615,6,87,10,0,79,135,1322
18,"1,2-propanediol",CC(O)CO,272,12,40,6,0,0,2,669,10,0,8,97,85,114,1315
165,"1,2-dimethylbenzene",Cc1ccccc1C,0,0,0,0,0,0,0,663,10,592,0,29,0,14,1308
50,2-methyl-2-propanol,CC(C)(C)O,65,0,16,0,0,0,0,1168,0,45,0,0,0,0,1294
22,1-nonanol,CCCCCCCCCO,184,0,62,0,0,0,0,613,0,405,0,28,0,0,1292
39,"1,4-butanediol",OCCCCO,98,68,46,0,0,0,0,215,0,196,0,36,239,163,1061
