,Mixture,Mixture Count dens binary,Mixture Count actcoeff binary,Mixture Count sos binary,Mixture Count dielec binary,Mixture Count eme binary,Mixture Count emcp binary,Mixture Count emv binary
0,benzene__octane,1067.0,0.0,13.0,0.0,0.0,0.0,0.0
1,cyclohexane__nonane,1031.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2-propanol__water,1012.0,0.0,0.0,0.0,45.0,0.0,0.0
3,1-propanol__toluene,842.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1-heptanol__heptane,756.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ethanol__methylcyclohexane,753.0,0.0,11.0,0.0,0.0,0.0,0.0
6,n-octane__n-decane,750.0,0.0,0.0,0.0,0.0,0.0,0.0
7,n-decane__heptane,750.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ethanol__toluene,723.0,0.0,71.0,0.0,0.0,0.0,0.0
9,ethanol__water,712.0,0.0,20.0,0.0,83.0,0.0,0.0
10,ethanol__heptane,708.0,0.0,39.0,0.0,0.0,0.0,0.0
11,2-methyl-2-propanol__water,636.0,0.0,6.0,0.0,0.0,0.0,0.0
12,1-butanol__cyclohexane,501.0,0.0,51.0,0.0,38.0,0.0,0.0
13,glycerol__water,381.0,5.0,0.0,8.0,0.0,0.0,0.0
14,tert-butanol__water,360.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"1,1,1-trimethanolethane__water",324.0,0.0,0.0,0.0,0.0,0.0,0.0
16,n-butyl alcohol__2-methylheptane,324.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1-propoxy-2-propanol__water,318.0,0.0,145.0,0.0,0.0,0.0,0.0
18,n-butyl alcohol__butyl oxide,300.0,0.0,0.0,0.0,0.0,0.0,0.0
19,cyclopentanol__water,287.0,0.0,0.0,0.0,0.0,0.0,0.0
20,bis(2-hydroxyethyl) ether__water,280.0,0.0,0.0,0.0,0.0,0.0,0.0
21,cyclohexanol__water,280.0,0.0,15.0,0.0,0.0,0.0,0.0
22,cis-decalin__trans-decalin,278.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"2-ethyl-2-(hydroxymethyl)-1,3-propanediol__water",270.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"1,5-pentanediol__water",269.0,0.0,0.0,0.0,0.0,0.0,0.0
25,benzene__cyclohexane,262.0,0.0,44.0,0.0,0.0,0.0,0.0
26,"1,6-hexanediol__water",255.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1-hexanol__dibutyl ether,254.0,0.0,54.0,0.0,20.0,0.0,0.0
28,"1,4-dimethylbenzene__octane",242.0,0.0,0.0,0.0,0.0,0.0,0.0
29,cycloheptanol__water,222.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"1,8-octanediol__water",220.0,0.0,0.0,0.0,0.0,0.0,0.0
31,tetrahydrofuran__water,220.0,0.0,20.0,0.0,0.0,0.0,0.0
32,neopentyl alcohol__water,213.0,0.0,0.0,0.0,0.0,0.0,0.0
33,methanol__water,212.0,0.0,12.0,0.0,140.0,0.0,0.0
34,"2-methyl-1,3-propanediol__water",209.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1-propanol__dibutyl ether,200.0,0.0,0.0,0.0,21.0,0.0,0.0
36,2-propanol__dibutyl ether,200.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"3,6-dioxaoctane__water",196.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"1,2-dimethylbenzene__methyl tert-butyl ether",195.0,0.0,195.0,0.0,0.0,0.0,0.0
39,"1,3-dimethylbenzene__tert-butyl ethyl ether",195.0,0.0,195.0,0.0,0.0,0.0,0.0
40,"1,3-dimethylbenzene__methyl tert-butyl ether",195.0,0.0,195.0,0.0,0.0,0.0,0.0
41,"1,2-dimethylbenzene__tert-butyl ethyl ether",195.0,0.0,195.0,0.0,0.0,0.0,0.0
42,"1,4-dimethylbenzene__methyl tert-butyl ether",195.0,0.0,195.0,0.0,0.0,0.0,0.0
43,"1,4-dimethylbenzene__tert-butyl ethyl ether",195.0,0.0,195.0,0.0,0.0,0.0,0.0
44,2-butoxyethanol__water,191.0,0.0,18.0,0.0,0.0,0.0,0.0
45,decane__methyl tert-butyl ether,181.0,0.0,0.0,0.0,20.0,0.0,0.0
46,"1,4-dimethylbenzene__decane",180.0,0.0,33.0,0.0,0.0,0.0,0.0
47,cyclohexylmethanol__water,176.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2-cyclohexylethanol__water,175.0,0.0,0.0,0.0,0.0,0.0,0.0
49,nonane__methyl tert-butyl ether,173.0,0.0,0.0,0.0,20.0,0.0,0.0
50,diethoxymethane__water,173.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1-propanol__water,172.0,0.0,27.0,0.0,0.0,0.0,0.0
52,n-octane__nonane,171.0,0.0,0.0,0.0,0.0,0.0,0.0
53,pentaerythritol__water,165.0,0.0,0.0,0.0,0.0,0.0,0.0
54,propane__butane,157.0,0.0,0.0,0.0,0.0,0.0,0.0
55,cyclooctanol__water,156.0,0.0,0.0,0.0,0.0,0.0,0.0
56,"2,2-dimethyl-1,3-propanediol__water",156.0,0.0,0.0,0.0,0.0,0.0,0.0
57,"2,5,8-trioxanonane__water",154.0,0.0,18.0,0.0,0.0,0.0,0.0
58,methanol__methyl tert-butyl ether,151.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"ethanol__2,2,4-trimethylpentane",150.0,0.0,0.0,0.0,19.0,0.0,0.0
60,hexane__heptane,149.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2-propanol__methyl tert-butyl ether,144.0,0.0,0.0,0.0,0.0,0.0,0.0
62,butan-1-ol__methyl tert-butyl ether,144.0,0.0,0.0,0.0,0.0,0.0,0.0
63,"1,4-butanediol__water",142.0,0.0,142.0,0.0,36.0,109.0,109.0
64,propan-1-ol__methyl tert-butyl ether,140.0,0.0,0.0,0.0,0.0,0.0,0.0
65,ethanol__methyl tert-butyl ether,140.0,0.0,0.0,0.0,0.0,0.0,0.0
